Gender,Age Range,Head Size(cm^3),Brain Weight(grams)
1,1,4424,1400
1,1,3878,1357
1,1,4046,1287
1,1,3804,1275
1,1,3710,1270
1,1,4747,1635
1,1,4423,1505
1,1,4036,1490
1,1,4022,1485
1,1,3454,1310
1,1,4175,1420
1,1,3787,1318
1,1,3796,1432
1,1,4103,1364
1,1,4161,1405
1,1,4158,1432
1,1,4063,1390
1,1,4012,1400
1,1,3458,1225
1,1,3890,1310
1,2,4166,1560
1,2,3935,1330
1,2,3669,1222
1,2,3866,1415
1,2,3393,1175
1,2,4442,1330
1,2,4253,1485
1,2,3727,1470
1,2,3329,1135
1,2,3930,1252
1,2,3835,1315
1,2,3830,1245
1,2,3856,1430
1,2,3249,1279
1,2,3478,1270
1,2,3495,1218
1,2,3834,1430
1,2,3876,1588
1,2,3661,1320
1,2,3618,1290
1,2,3648,1260
1,2,4032,1425
1,2,3399,1226
1,2,3916,1360
1,2,4430,1620
1,2,3695,1310
1,2,3524,1250
1,2,3571,1295
1,2,3594,1290
1,2,3383,1290
1,2,3499,1275
1,2,3589,1250
1,2,3900,1270
1,2,4114,1362
1,2,3937,1300
1,2,3399,1173
1,2,4200,1256
1,2,4488,1440
1,2,3614,1180
1,2,4051,1306
1,2,3782,1350
1,2,3391,1125
1,2,3124,1165
1,2,4053,1312
1,2,3582,1300
1,2,3666,1270
1,2,3532,1335
1,2,4046,1450
1,2,3667,1310
2,1,2857,1027
2,1,3436,1235
2,1,3791,1260
2,1,3302,1165
2,1,3104,1080
2,1,3171,1127
2,1,3572,1270
2,1,3530,1252
2,1,3175,1200
2,1,3438,1290
2,1,3903,1334
2,1,3899,1380
2,1,3401,1140
2,1,3267,1243
2,1,3451,1340
2,1,3090,1168
2,1,3413,1322
2,1,3323,1249
2,1,3680,1321
2,1,3439,1192
2,1,3853,1373
2,1,3156,1170
2,1,3279,1265
2,1,3707,1235
2,1,4006,1302
2,1,3269,1241
2,1,3071,1078
2,1,3779,1520
2,1,3548,1460
2,1,3292,1075
